date,PRC,sprtrn
20100503,129.60001,0.013121
20100504,128.12000,-0.023838
20100505,127.46000,-0.006561
20100506,123.92000,-0.032378
20100507,122.10000,-0.015308
20100510,126.27000,0.043974
20100511,126.89000,-0.003397
20100512,132.67999,0.013740
20100513,131.48000,-0.012145
20100514,131.19000,-0.018800
20100517,130.44000,0.001109
20100518,129.95000,-0.014196
20100519,128.86000,-0.005130
20100520,123.80000,-0.038976
20100521,125.42000,0.015024
20100524,124.45000,-0.012908
20100525,124.52000,0.000354
20100526,123.23000,-0.005661
20100527,126.39000,0.032876
20100528,125.26000,-0.012375
20100601,124.34000,-0.017165
20100602,127.41000,0.025843
20100603,127.96000,0.004051
20100604,125.28000,-0.034411
20100607,124.13000,-0.013532
20100608,123.72000,0.010976
20100609,123.90000,-0.005942
20100610,127.68000,0.029507
20100611,128.45000,0.004380
20100614,128.50000,-0.001805
20100615,129.78999,0.023494
20100616,130.35001,-0.000556
20100617,130.98000,0.001283
20100618,130.14999,0.001317
20100621,130.64999,-0.003857
20100622,129.30000,-0.016071
20100623,130.11000,-0.002985
20100624,128.19000,-0.016803
20100625,127.12000,0.002859
20100628,128.98000,-0.002034
20100629,125.09000,-0.031017
20100630,123.48000,-0.010113
20100701,122.57000,-0.003240
20100702,121.86000,-0.004662
20100706,123.46000,0.005359
20100707,127.00000,0.031331
20100708,127.97000,0.009413
20100709,127.96000,0.007204
20100712,128.67000,0.000733
20100713,130.48000,0.015379
20100714,130.72000,-0.000155
20100715,130.72000,0.001196
20100716,128.03000,-0.028820
20100719,129.78999,0.005982
20100720,126.55000,0.011417
20100721,125.27000,-0.012820
20100722,127.47000,0.022513
20100723,128.38000,0.008220
20100726,128.41000,0.011200
20100727,128.63000,-0.001049
20100728,128.42999,-0.006922
20100729,128.02000,-0.004159
20100730,128.39999,0.000064
20100802,130.75999,0.022023
20100803,130.37000,-0.004796
20100804,131.27000,0.006051
20100805,131.83000,-0.001269
20100806,130.14000,-0.003704
20100809,132.00000,0.005483
20100810,131.84000,-0.005967
20100811,129.83000,-0.028179
20100812,128.30000,-0.005379
20100813,127.87000,-0.004024
20100816,127.77000,0.000120
20100817,128.45000,0.012192
20100818,129.39250,0.001483
20100819,128.89999,-0.016935
20100820,127.50000,-0.003663
20100823,126.47000,-0.004040
20100824,124.90000,-0.014512
20100825,125.27000,0.003289
20100826,122.78000,-0.007685
20100827,124.73000,0.016587
20100830,123.40000,-0.014719
20100831,123.13000,0.000391
20100901,125.77000,0.029505
20100902,125.04000,0.009081
20100903,127.58000,0.013219
20100907,125.95000,-0.011471
20100908,126.08000,0.006439
20100909,126.36000,0.004832
20100910,127.99000,0.004863
20100913,129.61000,0.011131
20100914,128.85001,-0.000713
20100915,129.42999,0.003541
20100916,129.67000,-0.000364
20100917,130.19000,0.000827
20100920,131.78999,0.015210
20100921,131.98000,-0.002564
20100922,132.57001,-0.004825
20100923,131.67000,-0.008331
20100924,134.11000,0.021194
20100927,134.64999,-0.005667
20100928,134.89000,0.004850
20100929,135.48000,-0.002588
20100930,134.14000,-0.003084
20101001,135.64000,0.004416
20101004,135.25000,-0.008035
20101005,137.66000,0.020861
20101006,137.84000,-0.000672
20101007,138.72000,-0.001647
20101008,138.85001,0.006122
20101011,139.66000,0.000146
20101012,139.85001,0.003819
20101013,140.37000,0.007121
20101014,141.50000,-0.003641
20101015,141.06000,0.002028
20101018,142.83000,0.007244
20101019,138.03000,-0.015877
20101020,139.07001,0.010524
20101021,139.83000,0.001774
20101022,139.67000,0.002389
20101025,139.84000,0.002147
20101026,140.67000,0.000017
20101027,141.42999,-0.002691
20101028,140.89999,0.001125
20101029,143.60001,-0.000439
20101101,143.32001,0.000947
20101102,143.84000,0.007759
20101103,144.17000,0.003678
20101104,146.78999,0.019283
20101105,146.92000,0.003923
20101108,146.46001,-0.002121
20101109,146.14000,-0.008052
20101110,146.55000,0.004376
20101111,145.42999,-0.004242
20101112,143.74001,-0.011808
20101115,143.64000,-0.001217
20101116,142.24001,-0.016205
20101117,141.95000,0.000212
20101118,144.36000,0.015357
20101119,145.05000,0.002540
20101122,145.39000,-0.001575
20101123,143.17999,-0.014284
20101124,145.81000,0.014923
20101126,144.11000,-0.007469
20101129,142.89000,-0.001379
20101130,141.46001,-0.006070
20101201,144.41000,0.021617
20101202,145.17999,0.012818
20101203,145.38000,0.002603
20101206,144.99001,-0.001298
20101207,144.02000,0.000515
20101208,144.98000,0.003702
20101209,144.30000,0.003843
20101210,144.82001,0.006002
20101213,144.28000,0.000048
20101214,145.82001,0.000911
20101215,144.72000,-0.005122
20101216,144.55000,0.006185
20101217,145.00000,0.000837
20101220,144.50999,0.002548
20101221,145.74001,0.006030
20101222,145.95000,0.003380
20101223,145.89000,-0.001644
20101227,145.34000,0.000613
20101228,145.71001,0.000771
20101229,146.52000,0.001009
20101230,146.67000,-0.001508
20101231,146.75999,-0.000191
20110103,147.48000,0.011315
20110104,147.64000,-0.001313
20110105,147.05000,0.005007
20110106,148.66000,-0.002123
20110107,147.92999,-0.001845
20110110,147.64000,-0.001376
20110111,147.28000,0.003725
20110112,149.10001,0.009008
20110113,148.82001,-0.001711
20110114,150.00000,0.007385
20110118,150.64999,0.001376
20110119,155.69000,-0.010116
20110120,155.80000,-0.001295
20110121,155.50000,0.002414
20110124,159.63000,0.005836
20110125,161.44000,0.000263
20110126,161.03999,0.004221
20110127,161.07001,0.002244
20110128,159.21001,-0.017852
20110131,162.00000,0.007663
20110201,163.56000,0.016694
20110202,163.30000,-0.002723
20110203,163.53000,0.002354
20110204,164.00000,0.002884
20110207,164.82001,0.006240
20110208,166.05000,0.004185
20110209,164.64999,-0.002786
20110210,164.09000,0.000750
20110211,163.85001,0.005507
20110214,163.22000,0.002385
20110215,162.84000,-0.003235
20110216,163.39999,0.006257
20110217,164.24001,0.003076
20110218,164.84000,0.001925
20110222,161.95000,-0.020529
20110223,160.17999,-0.006112
20110224,160.77000,-0.000994
20110225,162.28000,0.010550
20110228,161.88000,0.005561
20110301,159.97000,-0.015740
20110302,160.16000,0.001615
20110303,163.48000,0.017219
20110304,161.83000,-0.007378
20110307,159.92999,-0.008341
20110308,162.28000,0.008923
20110309,165.86000,-0.001362
20110310,162.02000,-0.018871
20110311,162.42999,0.007080
20110314,161.39000,-0.006049
20110315,159.02000,-0.011200
20110316,153.00000,-0.019495
20110317,154.17999,0.013398
20110318,155.89000,0.004302
20110321,157.67999,0.014994
20110322,158.00000,-0.003551
