PERMNO,date,TICKER,PRC,vwretd,ewretd
18542,20070529,CAT,75.75000,0.003060,0.004874
18542,20070530,CAT,78.48000,0.008236,0.004318
18542,20070531,CAT,78.58000,0.001607,0.004507
18542,20070601,CAT,78.14000,0.005132,0.005396
18542,20070604,CAT,78.29000,0.002108,0.002545
18542,20070605,CAT,78.65000,-0.005316,-0.003570
18542,20070606,CAT,78.68000,-0.009361,-0.007294
18542,20070607,CAT,77.31000,-0.018107,-0.014220
18542,20070608,CAT,78.52000,0.010776,0.006328
18542,20070611,CAT,78.75000,0.001117,0.000193
18542,20070612,CAT,78.08000,-0.010829,-0.010319
18542,20070613,CAT,79.93000,0.014169,0.008852
18542,20070614,CAT,80.73000,0.005359,0.004925
18542,20070615,CAT,81.11000,0.007417,0.007951
18542,20070618,CAT,81.85000,-0.000900,0.000237
18542,20070619,CAT,82.49000,0.001779,0.002899
18542,20070620,CAT,81.38000,-0.012711,-0.008315
18542,20070621,CAT,81.47000,0.005388,0.002338
18542,20070622,CAT,80.90000,-0.010745,-0.005932
18542,20070625,CAT,80.70000,-0.004823,-0.006476
18542,20070626,CAT,80.29000,-0.004023,-0.003078
18542,20070627,CAT,79.51000,0.009350,0.008031
18542,20070628,CAT,79.09000,0.000735,0.002357
18542,20070629,CAT,78.30000,-0.000731,0.000124
18542,20070702,CAT,80.45000,0.011410,0.008541
18542,20070703,CAT,77.99000,0.003442,0.002199
18542,20070705,CAT,77.49000,0.001214,0.001641
18542,20070706,CAT,78.81000,0.004469,0.003896
18542,20070709,CAT,79.83000,0.001551,0.002156
18542,20070710,CAT,81.22000,-0.013594,-0.010451
18542,20070711,CAT,82.17000,0.005065,0.002479
18542,20070712,CAT,84.09000,0.017518,0.010693
18542,20070713,CAT,85.13000,0.003177,0.001082
18542,20070716,CAT,85.90000,-0.003052,-0.004465
18542,20070717,CAT,86.47000,-0.000071,0.000060
18542,20070718,CAT,86.23000,-0.001556,-0.003549
18542,20070719,CAT,86.98000,0.004851,0.005587
18542,20070720,CAT,83.20000,-0.011676,-0.009234
18542,20070723,CAT,82.00000,0.003036,-0.000493
18542,20070724,CAT,81.66000,-0.020133,-0.019044
18542,20070725,CAT,80.50000,0.002686,-0.002476
18542,20070726,CAT,78.29000,-0.023863,-0.021884
18542,20070727,CAT,76.02000,-0.014734,-0.010659
18542,20070730,CAT,77.04000,0.009310,0.004439
18542,20070731,CAT,78.80000,-0.010143,-0.003866
18542,20070801,CAT,80.13000,0.004117,-0.005684
18542,20070802,CAT,80.67000,0.005973,0.004093
18542,20070803,CAT,78.96000,-0.025940,-0.022608
18542,20070806,CAT,81.00000,0.018022,0.000292
18542,20070807,CAT,80.44000,0.006584,0.005444
18542,20070808,CAT,80.90000,0.015618,0.017706
18542,20070809,CAT,78.48000,-0.026897,-0.015519
18542,20070810,CAT,77.55000,-0.000485,-0.000983
18542,20070813,CAT,77.90000,-0.000566,-0.001632
18542,20070814,CAT,76.77000,-0.019064,-0.017482
18542,20070815,CAT,74.95000,-0.015667,-0.016746
18542,20070816,CAT,73.00000,0.001860,-0.003934
18542,20070817,CAT,72.64000,0.024412,0.021044
18542,20070820,CAT,74.05000,0.001612,0.004000
18542,20070821,CAT,74.28000,0.002159,0.003189
18542,20070822,CAT,75.30000,0.013029,0.013399
18542,20070823,CAT,75.17000,-0.001609,-0.002708
18542,20070824,CAT,76.32000,0.012340,0.009734
18542,20070827,CAT,76.00000,-0.008308,-0.004717
18542,20070828,CAT,74.16000,-0.023437,-0.018346
18542,20070829,CAT,75.04000,0.021820,0.016636
18542,20070830,CAT,74.66000,-0.003801,-0.002015
18542,20070831,CAT,75.77000,0.012292,0.012035
18542,20070904,CAT,76.85000,0.011105,0.008003
18542,20070905,CAT,75.54000,-0.010078,-0.007605
18542,20070906,CAT,75.75000,0.004424,0.003937
18542,20070907,CAT,73.44000,-0.016222,-0.012456
18542,20070910,CAT,73.74000,-0.002903,-0.005696
18542,20070911,CAT,73.89000,0.013510,0.009619
18542,20070912,CAT,72.77000,0.000215,-0.001838
18542,20070913,CAT,72.99000,0.007388,0.001737
18542,20070914,CAT,73.16000,0.001268,0.002020
18542,20070917,CAT,73.69000,-0.005812,-0.007233
18542,20070918,CAT,77.46000,0.029284,0.023126
18542,20070919,CAT,77.91000,0.005779,0.008313
18542,20070920,CAT,77.37000,-0.005202,-0.004041
18542,20070921,CAT,78.16000,0.004906,0.004343
