PERMNO,date,TICKER,COMNAM,PRC
12490,19750731,IBM,INTERNATIONAL BUSINESS MACHS COR,190.25000
12490,19750829,IBM,INTERNATIONAL BUSINESS MACHS COR,186.25000
12490,19750930,IBM,INTERNATIONAL BUSINESS MACHS COR,188.25000
12490,19751031,IBM,INTERNATIONAL BUSINESS MACHS COR,212.25000
12490,19751128,IBM,INTERNATIONAL BUSINESS MACHS COR,226.37500
12490,19751231,IBM,INTERNATIONAL BUSINESS MACHS COR,224.25000
12490,19760130,IBM,INTERNATIONAL BUSINESS MACHS COR,257.75000
12490,19760227,IBM,INTERNATIONAL BUSINESS MACHS COR,255.62500
12490,19760331,IBM,INTERNATIONAL BUSINESS MACHS COR,262.00000
12490,19760430,IBM,INTERNATIONAL BUSINESS MACHS COR,253.37500
12490,19760528,IBM,INTERNATIONAL BUSINESS MACHS COR,256.62500
12490,19760630,IBM,INTERNATIONAL BUSINESS MACHS COR,276.75000
12490,19760730,IBM,INTERNATIONAL BUSINESS MACHS COR,272.12500
12490,19760831,IBM,INTERNATIONAL BUSINESS MACHS COR,273.62500
12490,19760930,IBM,INTERNATIONAL BUSINESS MACHS COR,281.37500
12490,19761029,IBM,INTERNATIONAL BUSINESS MACHS COR,271.75000
12490,19761130,IBM,INTERNATIONAL BUSINESS MACHS COR,271.00000
12490,19761231,IBM,INTERNATIONAL BUSINESS MACHS COR,279.12500
12490,19770131,IBM,INTERNATIONAL BUSINESS MACHS COR,275.25000
12490,19770228,IBM,INTERNATIONAL BUSINESS MACHS COR,276.00000
12490,19770331,IBM,INTERNATIONAL BUSINESS MACHS COR,276.50000
12490,19770429,IBM,INTERNATIONAL BUSINESS MACHS COR,258.75000
12490,19770531,IBM,INTERNATIONAL BUSINESS MACHS COR,245.50000
12490,19770630,IBM,INTERNATIONAL BUSINESS MACHS COR,264.00000
12490,19770729,IBM,INTERNATIONAL BUSINESS MACHS COR,268.12500
12490,19770831,IBM,INTERNATIONAL BUSINESS MACHS COR,268.37500
12490,19770930,IBM,INTERNATIONAL BUSINESS MACHS COR,261.00000
12490,19771031,IBM,INTERNATIONAL BUSINESS MACHS COR,257.25000
12490,19771130,IBM,INTERNATIONAL BUSINESS MACHS COR,264.00000
12490,19771230,IBM,INTERNATIONAL BUSINESS MACHS COR,273.50000
12490,19780131,IBM,INTERNATIONAL BUSINESS MACHS COR,265.50000
